measurement_sites,radius,success,max_violation,min_demand_viol,output_dir
"['140', '60']",0.002286309229537605,True,0.0,-7.633670083451078e-08,data/Anytown-B-batch-20260331-165254/140_60
"['170', '40']",0.0022913458609401904,True,0.0,0.00022117685396555553,data/Anytown-B-batch-20260331-165254/170_40
"['140', '170']",0.002350698268578079,True,0.0,0.0005193155002783122,data/Anytown-B-batch-20260331-165254/140_170
"['120', '40']",0.0023885370065908477,True,0.0,0.00018786560529687846,data/Anytown-B-batch-20260331-165254/120_40
"['150', '40']",0.002489421159865243,True,0.0,0.00017517139706756213,data/Anytown-B-batch-20260331-165254/150_40
"['60', '90']",0.0025125079102280286,True,0.0,1.0609669395624966e-05,data/Anytown-B-batch-20260331-165254/60_90
"['120', '50']",0.002519483454785051,True,0.0,0.00022840416459333452,data/Anytown-B-batch-20260331-165254/120_50
"['30', '55']",0.002530509406315859,True,0.0,0.00031550853526753173,data/Anytown-B-batch-20260331-165254/30_55
"['120', '170']",0.002542061256545942,True,0.0,0.00020489202798128315,data/Anytown-B-batch-20260331-165254/120_170
"['115', '75']",0.0025585333643484303,True,0.0,7.569073152005712e-05,data/Anytown-B-batch-20260331-165254/115_75
"['120', '90']",0.0026634578833097783,True,0.0,0.00020784056608444501,data/Anytown-B-batch-20260331-165254/120_90
"['120', '130']",0.0026917646620236734,True,0.0,0.00015965951976151905,data/Anytown-B-batch-20260331-165254/120_130
"['130', '50']",0.002788831813483227,True,0.0,0.00023466414730898794,data/Anytown-B-batch-20260331-165254/130_50
"['170', '50']",0.0028151143477399125,True,0.0,0.0002308878384438075,data/Anytown-B-batch-20260331-165254/170_50
"['110', '130']",0.002889585874322003,True,0.0,0.0001879452421766913,data/Anytown-B-batch-20260331-165254/110_130
"['100', '120']",0.0029642565199837476,True,0.0,8.211531156998675e-05,data/Anytown-B-batch-20260331-165254/100_120
"['140', '40']",0.002976788828118089,True,0.0,0.00047060199799674976,data/Anytown-B-batch-20260331-165254/140_40
"['140', '150']",0.0029873414278880103,True,0.0,0.00044867819531804146,data/Anytown-B-batch-20260331-165254/140_150
"['100', '170']",0.00299991180433182,True,0.0,7.045230815894244e-05,data/Anytown-B-batch-20260331-165254/100_170
"['170', '90']",0.0030049722591802682,True,0.0,0.00015328250417136302,data/Anytown-B-batch-20260331-165254/170_90
"['140', '50']",0.0030257781566151946,True,0.0,0.00045906662356419534,data/Anytown-B-batch-20260331-165254/140_50
"['100', '130']",0.0030631051402283567,True,0.0,5.9588900756837485e-05,data/Anytown-B-batch-20260331-165254/100_130
"['130', '90']",0.0031348305447066738,True,0.0,0.00010883703211519397,data/Anytown-B-batch-20260331-165254/130_90
"['100', '30']",0.0031402962321291895,True,0.0,0.00020227670250454289,data/Anytown-B-batch-20260331-165254/100_30
"['50', '60']",0.003140842869930994,True,0.0,0.0002703253287514455,data/Anytown-B-batch-20260331-165254/50_60
['140'],0.003142597225118724,True,0.0,0.0004419367207879342,data/Anytown-B-batch-20260331-165254/140
"['150', '90']",0.0031620978777552365,True,0.0,0.00014984965774556092,data/Anytown-B-batch-20260331-165254/150_90
